data,acoes_em_circulacao,empresa_chave,empresa,ticker,setor
2024-04-18,600945024,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2024-04-25,600945024,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2024-04-25,607358016,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2024-04-30,603740032,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2024-04-30,600945024,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2024-05-01,600945024,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2024-05-01,609891008,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2024-05-07,600945024,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2024-05-07,606758016,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2024-05-11,612105024,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2024-05-11,600945024,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2024-05-18,600945024,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2024-05-18,610572992,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2024-05-24,606412032,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2024-05-24,600945024,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2024-05-30,593702016,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2024-06-05,593702016,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2024-06-05,598780992,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2024-06-08,603283968,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2024-06-08,593702016,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2024-06-11,595174016,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2024-06-13,597227008,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2024-06-13,595174016,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2024-06-18,595174016,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2024-06-18,598500992,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2024-06-20,601443968,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2024-06-20,595174016,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2024-07-03,607780992,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2024-07-03,595174016,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2024-07-12,601955968,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2024-07-12,595174016,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2024-07-16,594832000,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2024-07-19,594832000,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2024-07-19,613713024,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2024-07-24,594832000,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2024-07-24,602867968,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2024-07-25,594832000,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2024-07-25,601244992,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2024-08-02,597632000,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2024-08-02,594832000,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2024-08-09,594832000,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2024-08-13,594836992,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2024-08-14,594836992,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2024-08-17,594836992,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2024-08-20,594836992,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2024-08-21,594836992,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2024-08-22,594836992,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2024-08-23,594836992,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
