CNPJ_CIA,DT_REFER,VERSAO,DENOM_CIA,CD_CVM,GRUPO_DFP,MOEDA,ESCALA_MOEDA,ORDEM_EXERC,DT_INI_EXERC,DT_FIM_EXERC,CD_CONTA,DS_CONTA,VL_CONTA,ST_CONTA_FIXA,_CNPJ_DIGITOS,_DT_REFER,_VERSAO_NUM
53.113.791/0001-22,2025-06-30,1,TOTVS S.A.,019992,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2025-01-01,2025-06-30,3.04.03,Perdas pela Não Recuperabilidade de Ativos,0.0000000000,S,53113791000122,2025-06-30,1
53.113.791/0001-22,2025-06-30,1,TOTVS S.A.,019992,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2025-01-01,2025-06-30,3.04.04,Outras Receitas Operacionais,0.0000000000,S,53113791000122,2025-06-30,1
53.113.791/0001-22,2025-06-30,1,TOTVS S.A.,019992,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2025-01-01,2025-06-30,3.04.05,Outras Despesas Operacionais,-562608.0000000000,S,53113791000122,2025-06-30,1
53.113.791/0001-22,2025-06-30,1,TOTVS S.A.,019992,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2025-01-01,2025-06-30,3.04.05.01,Pesquisa e Desenvolvimento,-516629.0000000000,N,53113791000122,2025-06-30,1
53.113.791/0001-22,2025-06-30,1,TOTVS S.A.,019992,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2025-01-01,2025-06-30,3.04.05.02,Depreciação e Amortização,0.0000000000,N,53113791000122,2025-06-30,1
53.113.791/0001-22,2025-06-30,1,TOTVS S.A.,019992,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2025-01-01,2025-06-30,3.04.05.03,Provisão para perda esperada,-28614.0000000000,N,53113791000122,2025-06-30,1
53.113.791/0001-22,2025-06-30,1,TOTVS S.A.,019992,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2025-01-01,2025-06-30,3.04.05.04,Outras Despesas/Receitas Op. Líq.,-17365.0000000000,N,53113791000122,2025-06-30,1
53.113.791/0001-22,2025-06-30,1,TOTVS S.A.,019992,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2025-01-01,2025-06-30,3.04.06,Resultado de Equivalência Patrimonial,3128.0000000000,S,53113791000122,2025-06-30,1
53.113.791/0001-22,2025-06-30,1,TOTVS S.A.,019992,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2025-01-01,2025-06-30,3.05,Resultado Antes do Resultado Financeiro e dos Tributos,539906.0000000000,S,53113791000122,2025-06-30,1
53.113.791/0001-22,2025-06-30,1,TOTVS S.A.,019992,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2025-01-01,2025-06-30,3.06,Resultado Financeiro,-38483.0000000000,S,53113791000122,2025-06-30,1
